País,DataBARR,DataMISC,DataGIN,DAT_IDH
Liberia,70.3000030517578,,,0.48
Libia,,,,0.724
Liechtenstein,,,,0.919
Lituania,,11.9,34.4,0.882
Luxemburgo,,10.4,30.9,0.916
Macedonia del Norte,8.30000019073486,,,0.775
Madagascar,61.2000007629395,,,0.528
Malasia,,19,44.8,0.811
Malawi,65.0999984741211,,,0.483
Maldivas,30.1000003814697,,,0.741
Malí,47.2000007629395,12.9,38.9,0.434
Malta,,9.6,28,0.895
Mariana,,,,
Marruecos,9.19999980926514,11.9,40.7,0.686
Mauricio,,9.7,35.7,0.805
Mauritania,73.1999969482422,,,0.546
México,16,18.6,48.9,0.78
Micronesia (Estados Federados de),,,,
Mónaco,,,,
Mongolia,38.2999992370605,,,0.738
Montenegro,27.1000003814697,,,0.829
Mozambique,77.1999969482422,,,0.456
Mundo,29.2361359901447,,,
Myanmar,56.0999984741211,,,0.583
Namibia,42.2999992370605,,,0.646
Nauru,,,,
Nepal,49.2999992370605,,,0.602
Nicaragua,42.2000007629395,,,0.66
Níger,58.7999992370605,,,0.394
Nigeria,53.9000015258789,,,0.539
Noruega,0.00100000004749745,8,26.4,0.957
Nueva Caledonia,,,,
Nueva Zelanda,,,,0.931
Omán,,,,0.814
Países Bajos,,7.8,30,0.945
Pakistán,40.0999984741211,,,0.557
Palaos,,,,0.827
Palau,,,,
Panamá,22.1000003814697,25.5,54.6,0.816
Papua Nueva Guinea,,,,0.555
Paraguay,17.1000003814697,21.7,53,0.728
Pequeños Estados,,,,
Perú,33.0999984741211,24.2,50.3,0.778
Polinesia Francesa,,,,
Polonia,0.00999999977648258,14,34.7,0.88
Portugal,3.59999990463257,11.5,38.1,0.864
Puerto Rico,,,,
Qatar,,,,0.848
"Región Administrativa Especial de Macao, China",,,,
Reino Unido,,12.9,34.6,0.932
República Árabe Siria,37.9000015258789,,,0.567
República Centroafricana,95.4000015258789,,,0.397
República Checa,,7,26.7,0.9
República de Moldova,59.2000007629395,12.9,35.4,0.751
República Democrática Popular Lao,21.1000003814697,,,0.613
República Dominicana,14.8000001907349,20.7,52,0.757
República Eslovaca,,8.1,25.8,0.86
Ribera Occidental y Gaza,,10,34,
Rumania,12.1000003814697,20.1,39.6,0.828
Rwanda,42.0999984741211,,,0.543
Saint Kitts y Nevis,,,,
Samoa,,,,0.715
Samoa Americana,,,,
San CristÃ³bal y Nieves,,,,0.78
San Marino,,,,
San Vicente y las Granadinas,,,,0.739
Santa Lucía,11.1999998092651,,,0.76
Santo Tomé y Príncipe,85.6999969482422,,,0.625
Senegal,29.5,,,0.512
Serbia,3.59999990463257,,,0.807
Seychelles,,,,0.797
Sierra Leona,59.0999984741211,,,0.452
Singapur,,,,0.938
Sint Maarten (Dutch part),,,,
Somalia,72.0999984741211,,,
Sri Lanka,,9.2,39.7,0.783
Suazilandia,,,,0.611
Sudáfrica,25.6000003814697,,,0.709
Sudán,88.4000015258789,,,0.51
Sudán del Sur,91.4000015258789,,,0.433
Suecia,0.00100000004749745,7.3,26.4,0.946
Suiza,,11.2,33.9,0.955
Suriname,5.90000009536743,,,0.739
Tailandia,23.7000007629395,15,41.8,0.778
Tanzanía,40.0999984741211,,,0.529
Tayikistán,26,,,0.668
Timor-Leste,33.4000015258789,,,
Timor Oriental,,,,0.606
Togo,54.2999992370605,13.4,42.2,0.515
Tonga,,,,0.725
Trinidad y Tobago,5.40000009536743,,,0.797
Túnez,8.19999980926514,,,0.741
Turkmenistán,,,,0.715
Turquía,8.60000038146973,17.8,39.6,0.821
Tuvalu,,,,
Ucrania,19,7.8,29.8,0.78
Uganda,48.2999992370605,,,0.544
Uruguay,,19.4,45.9,0.818
Uzbekistán,52.2000007629395,,,0.72
Vanuatu,,,,0.609
Venezuela,44.0999984741211,19.9,44.8,0.711
Viet Nam,13.8000001907349,11.7,35.8,0.704
"Yemen, Rep. del",66.1999969482422,,,0.47
Yibuti,,,,0.524
Zambia,54.5999984741211,22.2,54.6,0.584
Zimbabwe,33.5,,,0.571
